0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
-0.18862505;0.40079603;0.4117589;0.109734684;0.009841241;0.034627452;0.16642126;0.056300987;0.09739799;-0.09291909;0.30151093;0.05625763;0.05521599;0.16470961;-0.28821024;0.30911663;-0.3059533;0.075704865;0.77322197;-0.0553737;-0.4138696;-0.32113498;0.8785657;-0.40681532;-0.006662097;0.08211203;-0.19608536;-0.23968774;0.049380425;-0.48011163
0.66977507;-0.5134534;0.7297947;0.12602764;0.2675723;0.4812848;1.1414992;0.14264174;0.74279845;0.54926866;0.7694874;0.39313933;0.26871115;0.7018841;0.2882653;0.36919168;-0.328259;0.17884614;-0.031256888;0.5617707;0.58908635;0.12787424;0.22050075;0.4228278;-0.1269266;0.72883165;0.3534174;0.15238515;-0.145056;0.39454108
-0.3815569;-0.054399677;-0.29407123;0.117845535;-0.6086099;-0.06505027;-0.3053817;0.23677962;-0.0036298037;0.20465969;-0.06725942;0.20759697;-0.134368;-0.31357294;-0.34088045;-0.23393635;0.19677319;-0.048138957;0.20755798;-0.2472106;0.2057264;-0.05029184;0.13738608;-0.30594105;-0.03811922;-0.013325345;-0.10212975;-0.3203436;0.274796;-0.026569843
0.454016;0.23253413;0.18840982;-0.25508368;0.52447367;0.4152649;-0.06725075;0.152116;0.1007622;0.83460146;0.45428708;-0.23066504;0.24600378;0.3077898;0.5579771;0.43128112;0.0448975;0.16499698;0.6152474;0.16524994;-0.13893;0.22005199;0.15182273;0.5361451;0.05531962;0.060068548;0.32054466;0.12352951;-0.049228586;0.27720788
0.06664795;-0.130414;0.45374838;-0.09748902;-0.049003016;-0.47844344;0.4609422;0.12910308;0.42420492;-0.1156551;0.23509556;0.6076034;0.68942434;0.11541901;0.48159716;0.15611419;-0.17870855;0.035972327;0.8780053;0.40556985;0.023551432;0.13636836;0.45736405;0.37216324;0.002982881;0.83386254;0.27027205;-0.14833117;0.18257716;0.61801666
-0.4171967;-0.23987404;-0.27944756;-0.37273657;-0.15382369;-0.26397258;0.087073505;-0.4675614;-0.48759344;-0.23353688;-0.056611236;-0.02352133;-0.26363698;-0.19237527;-0.4145636;-0.114073925;-0.24397643;-0.48600528;-0.6851743;-0.41485113;-0.21956924;-0.18568566;-0.33235255;-0.26924133;-0.07225862;-0.6831618;-0.052128527;-0.36602712;-0.22627945;-0.2905853
0.3000463;0.011749232;-0.07039339;0.06477864;-0.2457275;0.3678296;0.23243749;0.11156312;-0.0408329;0.025803445;-0.13571467;0.013184805;-0.02923424;0.05052013;-0.21666963;-0.34831837;-0.17781541;0.12802985;0.061030477;-0.17357747;-0.2215369;0.07739477;-0.12978192;-0.08002672;0.19630668;-0.07858332;-0.016653743;0.43116885;-0.063862786;-0.15538102
-0.66236025;-0.7201651;-0.40325126;-0.84377486;-0.026509693;0.051062983;-0.31519675;-0.66456145;0.2080465;-0.21366717;0.102888696;-0.41628253;-0.03519326;-0.09034153;-0.529867;0.14003535;-0.3140719;-0.31491494;0.6933206;-0.6573964;-0.6860009;-0.38311714;-0.15777193;-0.5291615;-0.2853707;-0.26914504;-0.4685422;0.095951766;-0.40394184;-0.37261382
-0.3842112;-0.3996441;-0.39100787;-0.30169958;-0.33626187;-0.47847915;-0.6443003;-0.4712678;-0.27719748;-0.604381;-0.16342877;-0.62004894;-0.0547422;-0.029497167;-0.103171945;0.10301363;-0.32201084;-0.54948694;-1.0570627;-0.3298088;-0.07666504;-0.35454383;-0.32006344;0.037190776;-0.3460374;-0.5206423;-0.01128646;-0.4041891;-0.093553476;-0.50991535
0.2052668;0.16984311;-0.011418253;-0.2979342;0.45132747;-0.22535971;0.18109365;-0.1787539;0.27423906;0.3779424;-0.23988381;0.1857744;-0.06216671;0.2640467;0.2454018;0.31397;-0.08891179;-0.003651822;-0.05219535;-0.03241171;-0.24481831;-0.011117168;0.24241376;0.032573678;0.44104323;0.4992713;-0.20077163;0.2219226;-0.025426459;-0.20846978
